process,commodity,direction
UBIOPRCSLD100,BIOSLD,OUT
E_WOF_deep_Near_C3_CHN,ELCWIN,IN
E_WOF_shal_Inter_C2_SUR,ELC,OUT
IMCHELC_new,INDELC,IN
INMLIQMIXCC,INDBOIL,IN
IN2ONIT07,INDNIT,IN
UMETGAS100,ALCMET,OUT
UBIOCRPTOCRP300,BIOCRPSG,IN
E_WOF_deep_Far_C2_AUS,ELCWIN,IN
E_SPV_C06_JAM,ELC,OUT
CCUDUMINDN,CPTINDCO2N,IN
EZOCOA121,ELCCOA,IN
RCH4WLF06,RESDMY,OUT
INMCEMPLAMEACC,INDCO2P,OUT
CCUMINPFAB,ASHAGG,OUT
UJATOIL100,BIOJATOIL,OUT
EZCOABIOPULPEL20PAR,ELCCOA,IN
URAPEOIL100,BIORAPCAK,OUT
